n_frag,method,precision,recall,f1,ari,exact_slip,clean_fragments,same_slip_precision,cross_slip_rate,solve_s,top1,top50,precision_sd,recall_sd,f1_sd,ari_sd,exact_slip_sd,clean_fragments_sd,same_slip_precision_sd,cross_slip_rate_sd,n_seeds
2543,expert_top5,1.0,0.637291280148423,0.778470254957507,0.4272869683048065,0.5171898355754858,0.6335037357451828,1.0,0.0,0.0,0.4109461966604824,0.885899814471243,,,,,,,,,1
2543,expert_top50,1.0,0.885899814471243,0.939498278406296,0.5996726393445918,0.8251121076233184,0.8639402280770743,1.0,0.0,0.0,0.4109461966604824,0.885899814471243,,,,,,,,,1
2543,latent,0.5918057663125948,0.7235621521335807,0.6510851419031719,0.6088467256108578,0.3721973094170404,0.3704286276051907,0.8072837632776935,0.1927162367223065,900.8735029697418,0.4109461966604824,0.885899814471243,,,,,,,,,1
2543,matching,0.2193645990922844,0.4035250463821892,0.2842208428618098,0.1170863778795925,0.0134529147982062,0.028706252457727,0.2889561270801815,0.7110438729198185,1.5991804599761963,0.4109461966604824,0.885899814471243,,,,,,,,,1
2543,mutual,0.3074957410562181,0.3348794063079777,0.3206039076376554,0.2121224673516495,0.085201793721973,0.1553283523397562,0.4054514480408858,0.5945485519591142,0.0,0.4109461966604824,0.885899814471243,,,,,,,,,1
2543,top1,0.1742036964215493,0.4109461966604824,0.2446837890085612,0.0811011983079066,0.0448430493273542,0.092410538733779,0.2276838379866299,0.7723161620133701,0.0,0.4109461966604824,0.885899814471243,,,,,,,,,1
2572,expert_top1,1.0,0.4329044117647059,0.6042334830019244,0.2865357411627639,0.3442857142857143,0.5093312597200622,1.0,0.0,0.0,0.4329044117647059,0.8878676470588235,,,,,,,,,1
2572,expert_top10,1.0,0.7371323529411765,0.8486772486772487,0.4877297869900525,0.6414285714285715,0.7216174183514774,1.0,0.0,0.0,0.4329044117647059,0.8878676470588235,,,,,,,,,1
2572,expert_top5,1.0,0.6553308823529411,0.7917823431426985,0.4289636883613786,0.5428571428571428,0.645800933125972,1.0,0.0,0.0,0.4329044117647059,0.8878676470588235,,,,,,,,,1
2572,expert_top50,1.0,0.8878676470588235,0.940603700097371,0.5873428724630502,0.8285714285714286,0.8635303265940902,1.0,0.0,0.0,0.4329044117647059,0.8878676470588235,,,,,,,,,1
2572,latent,0.5742128935532234,0.7040441176470589,0.6325350949628407,0.5749295751346059,0.3485714285714286,0.3386469673405909,0.795352323838081,0.204647676161919,901.2252960205078,0.4329044117647059,0.8878676470588235,,,,,,,,,1
2572,matching,0.2324324324324324,0.4347426470588235,0.302913864873519,0.1174917543387564,0.0185714285714285,0.0303265940902021,0.2963144963144963,0.7036855036855036,2.4793498516082764,0.4329044117647059,0.8878676470588235,,,,,,,,,1
2572,mutual,0.3194675540765391,0.3529411764705882,0.3353711790393013,0.2182397521599151,0.1142857142857142,0.176905132192846,0.4126455906821963,0.5873544093178036,0.0,0.4329044117647059,0.8878676470588235,,,,,,,,,1
2572,top1,0.1831259720062208,0.4329044117647059,0.2573770491803279,0.0834204844094759,0.0414285714285714,0.0944790046656298,0.2360031104199066,0.7639968895800933,0.0,0.4329044117647059,0.8878676470588235,,,,,,,,,1
4988,expert_top1,1.0,0.3579573624194348,0.5271997079225995,0.2299142968540148,0.2745961820851689,0.4817562149157979,1.0,0.0,0.0,0.3579573624194348,0.819533961328706,,,,,,,,,1
4988,expert_top10,1.0,0.6375805651958354,0.7786860429912201,0.413654217832245,0.5411160058737151,0.6585805934242182,1.0,0.0,0.0,0.3579573624194348,0.819533961328706,,,,,,,,,1
4988,expert_top5,1.0,0.5473475458601884,0.7074655559115668,0.3533876449128449,0.4537444933920704,0.5992381716118684,1.0,0.0,0.0,0.3579573624194348,0.819533961328706,,,,,,,,,1
4988,expert_top50,1.0,0.819533961328706,0.900817438692098,0.5347483521151248,0.750367107195301,0.8115477145148356,1.0,0.0,0.0,0.3579573624194348,0.819533961328706,,,,,,,,,1
4988,latent,0.4840813195243575,0.6256817055032227,0.545847750865052,0.489655155642915,0.2819383259911894,0.2848837209302325,0.6862293824319141,0.3137706175680859,901.5538802146912,0.3579573624194348,0.819533961328706,,,,,,,,,1
4988,matching,0.1656929189062865,0.3515121467526029,0.2252223634053367,0.061839050421495,0.0036710719530102,0.0090216519647153,0.2178078990418322,0.7821921009581678,4.230260133743286,0.3579573624194348,0.819533961328706,,,,,,,,,1
4988,mutual,0.2595628415300546,0.2825979176995538,0.2705910277711844,0.17326746158325,0.0778267254038179,0.1647955092221331,0.3442622950819672,0.6557377049180328,0.0,0.3579573624194348,0.819533961328706,,,,,,,,,1
4988,top1,0.1447473937449879,0.3579573624194348,0.2061384725196288,0.0667456097972929,0.0315712187958884,0.0986367281475541,0.1916599839615076,0.8083400160384924,0.0,0.3579573624194348,0.819533961328706,,,,,,,,,1
5061,expert_top1,1.0,0.3612933458294283,0.5308089500860586,0.250009792168665,0.2533532041728763,0.4629519857735625,1.0,0.0,0.0,0.3612933458294283,0.8158388003748829,,,,,,,,,1
5061,expert_top10,1.0,0.6490159325210871,0.7871554418868997,0.4372318880312942,0.5387481371087929,0.6488836198379767,1.0,0.0,0.0,0.3612933458294283,0.8158388003748829,,,,,,,,,1
5061,expert_top5,1.0,0.5646672914714151,0.7217729859239294,0.3849171125761443,0.4485842026825633,0.5888164394388461,1.0,0.0,0.0,0.3612933458294283,0.8158388003748829,,,,,,,,,1
5061,expert_top50,1.0,0.8158388003748829,0.8985806451612903,0.547053028992924,0.7406855439642325,0.7937166567871962,1.0,0.0,0.0,0.3612933458294283,0.8158388003748829,,,,,,,,,1
