state,seed,method,theta,n_frag,top1,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
P2,1,latent,4.595119850134589,732,0.9209621993127147,OPTIMAL,0.6962750716332379,0.8350515463917526,0.759375,0.46116504854368934,0.4849726775956284,349,291,0.7519701300496491,1.0,0,0.0
P2,1,latent,5.806138481293727,732,0.9209621993127147,OPTIMAL,0.7142857142857143,0.7560137457044673,0.7345575959933222,0.4563106796116505,0.49863387978142076,308,291,0.65642369217918,1.0,0,0.0
P2,2,full,-1.3862943611198906,697,0.9134948096885813,OPTIMAL,0.6635514018691588,0.9826989619377162,0.7921896792189679,0.5337078651685393,0.48206599713055953,428,289,0.8919044871856784,0.9439252336448598,24,0.05607476635514019
P2,2,full,-0.6190392084062235,697,0.9134948096885813,OPTIMAL,0.6745843230403801,0.9826989619377162,0.8,0.5561797752808989,0.5007173601147776,421,289,0.8879669316612777,0.9501187648456056,21,0.049881235154394354
P2,2,full,0.0,697,0.9134948096885813,OPTIMAL,0.6859903381642513,0.9826989619377162,0.8079658605974397,0.5786516853932584,0.5208034433285509,414,289,0.8872694035453661,0.9565217391304348,18,0.04347826086956519
P2,2,full,0.8472978603872034,697,0.9134948096885813,OPTIMAL,0.7042606516290727,0.972318339100346,0.8168604651162791,0.601123595505618,0.5523672883787661,399,289,0.8744377354557763,0.9699248120300752,12,0.03007518796992481
P2,2,full,1.7346010553881064,697,0.9134948096885813,OPTIMAL,0.7084398976982097,0.9584775086505191,0.8147058823529412,0.5898876404494382,0.5494978479196556,391,289,0.8672363427089013,0.9744245524296675,10,0.025575447570332477
P2,2,full,2.9444389791664394,697,0.9134948096885813,OPTIMAL,0.7188328912466844,0.9377162629757786,0.8138138138138139,0.5786516853932584,0.533715925394548,377,289,0.8285564541544138,0.9787798408488063,8,0.021220159151193685
P2,2,full,4.595119850134589,697,0.9134948096885813,OPTIMAL,0.7350427350427351,0.8927335640138409,0.80625,0.5617977528089888,0.5437589670014347,351,289,0.7833969988695116,0.9857549857549858,5,0.014245014245014231
P2,2,full,5.806138481293727,697,0.9134948096885813,OPTIMAL,0.7530487804878049,0.8546712802768166,0.8006482982171799,0.550561797752809,0.5451936872309899,328,289,0.7402065639449178,0.9908536585365854,3,0.009146341463414642
P2,2,latent,-1.3862943611198906,697,0.9134948096885813,OPTIMAL,0.696078431372549,0.9826989619377162,0.8149210903873744,0.5730337078651685,0.5279770444763271,408,289,0.9153412352477123,0.9803921568627451,8,0.019607843137254943
P2,2,latent,-0.6190392084062235,697,0.9134948096885813,OPTIMAL,0.7052896725440806,0.9688581314878892,0.8163265306122448,0.5730337078651685,0.5322812051649928,397,289,0.8961327420220355,0.9848866498740554,6,0.015113350125944613
P2,2,latent,0.0,697,0.9134948096885813,OPTIMAL,0.7117346938775511,0.9653979238754326,0.8193832599118942,0.5730337078651685,0.5380200860832137,392,289,0.8881043290537188,0.9872448979591837,5,0.012755102040816313
P2,2,latent,0.8472978603872034,697,0.9134948096885813,OPTIMAL,0.7213541666666666,0.9584775086505191,0.8231797919762258,0.5955056179775281,0.5595408895265424,384,289,0.8776714530182873,0.9921875,3,0.0078125
P2,2,latent,1.7346010553881064,697,0.9134948096885813,OPTIMAL,0.7272727272727273,0.9411764705882353,0.8205128205128205,0.5730337078651685,0.5509325681492109,374,289,0.8653230625130854,0.9946524064171123,2,0.005347593582887722
P2,2,latent,2.9444389791664394,697,0.9134948096885813,OPTIMAL,0.739612188365651,0.9238754325259516,0.8215384615384617,0.5786516853932584,0.5652797704447633,361,289,0.838677773054519,0.997229916897507,1,0.0027700831024930483
P2,2,latent,4.595119850134589,697,0.9134948096885813,OPTIMAL,0.7601246105919003,0.8442906574394463,0.7999999999999999,0.5393258426966292,0.5451936872309899,321,289,0.7473074757807245,1.0,0,0.0
P2,2,latent,5.806138481293727,697,0.9134948096885813,OPTIMAL,0.7620689655172413,0.7647058823529411,0.7633851468048358,0.47191011235955055,0.5121951219512195,290,289,0.6787939137555722,0.996551724137931,1,0.0034482758620689724
P3,0,full,-1.3862943611198906,731,0.808641975308642,OPTIMAL,0.6673819742489271,0.9598765432098766,0.7873417721518987,0.4682926829268293,0.4186046511627907,466,324,0.8840669943220535,0.9463519313304721,25,0.05364806866952787
P3,0,full,-0.6190392084062235,731,0.808641975308642,OPTIMAL,0.6790393013100436,0.9598765432098766,0.7953964194373402,0.4878048780487805,0.4377564979480164,458,324,0.8637192484030292,0.9454148471615721,25,0.05458515283842791
P3,0,full,0.0,731,0.808641975308642,OPTIMAL,0.6850220264317181,0.9598765432098766,0.7994858611825193,0.4975609756097561,0.44459644322845415,454,324,0.8682078694985746,0.9515418502202643,22,0.048458149779735726
