idx,ari,f1,exact,top1,face_loss_mm,pullout_mean_mm,face_texture_noise,p_gap,p_fragment_lost,breaks_per_slip,hand_accuracy,notch_sigma_mm,notch_tol_mm,width_tol_mm
94,0.7692156140717096,0.8506787330316742,0.6666666666666666,0.8813559322033898,1.6941040836274623,1.6057028300594538,0.1531706071924418,0.15308295870199798,0.20830516363494098,1.9991576804779467,0.8388749553263187,1.3115238009020687,27.011711440980434,0.6183095476590097
95,0.683270995086653,0.7079646017699116,0.4158415841584158,0.8375,1.7499758343212306,0.911383593082428,0.2663728881627321,0.3570294338744133,0.18632150327786803,3.0081133471801875,0.8964525844156742,1.1687011417932809,20.464132256805897,0.6183095476590097
96,0.5207497450073115,0.5015673981191223,0.23,0.3743016759776536,1.8096989554353058,0.5379837557673455,0.5652690198738127,0.2861970119643956,0.022602222142741085,2.2606757337227465,0.7373488818109035,1.0342314703390003,21.765892066061497,0.5901688776910305
97,0.5016042610058693,0.49221183800623053,0.17,0.3687150837988827,1.8251786756329238,0.5379837557673455,0.5652690198738127,0.2861970119643956,0.022602222142741085,2.2606757337227465,0.7373488818109035,1.0342314703390003,21.765892066061497,0.5901688776910305
98,0.5065206085114775,0.48717948717948717,0.22,0.4134078212290503,1.8096989554353058,1.094881306681782,0.5652690198738127,0.2861970119643956,0.022602222142741085,2.2606757337227465,0.7373488818109035,1.0342314703390003,21.765892066061497,0.5901688776910305
99,0.7208233302029979,0.7377521613832853,0.34,0.8156424581005587,1.8096989554353058,0.5379837557673455,0.17761836275458337,0.2861970119643956,0.022602222142741085,2.2606757337227465,0.7373488818109035,1.0342314703390003,21.765892066061497,0.5901688776910305
100,0.43523809411265607,0.430188679245283,0.21875,0.375886524822695,1.8096989554353058,0.5379837557673455,0.5652690198738127,0.4565474169328808,0.022602222142741085,2.2606757337227465,0.7373488818109035,1.0342314703390003,21.765892066061497,0.5901688776910305
101,0.5261314833376776,0.50814332247557,0.20212765957446807,0.39285714285714285,1.8096989554353058,0.5379837557673455,0.5652690198738127,0.2861970119643956,0.07476682326756418,2.2606757337227465,0.7373488818109035,1.0342314703390003,21.765892066061497,0.5901688776910305
102,0.5598498615627061,0.5,0.20430107526881722,0.34782608695652173,1.8096989554353058,0.5379837557673455,0.5652690198738127,0.2861970119643956,0.022602222142741085,2.0319030217826364,0.7373488818109035,1.0342314703390003,21.765892066061497,0.5901688776910305
103,0.47078333119960947,0.46945337620578775,0.18,0.36312849162011174,1.8096989554353058,0.5379837557673455,0.5652690198738127,0.2861970119643956,0.022602222142741085,2.2606757337227465,0.6750645177066326,1.0342314703390003,21.765892066061497,0.5901688776910305
104,0.5412813578588672,0.5031446540880502,0.23,0.3743016759776536,1.8096989554353058,0.5379837557673455,0.5652690198738127,0.2861970119643956,0.022602222142741085,2.2606757337227465,0.7373488818109035,0.4600726930424571,21.765892066061497,0.5901688776910305
105,0.5333843255533506,0.49390243902439024,0.21,0.3743016759776536,1.8096989554353058,0.5379837557673455,0.5652690198738127,0.2861970119643956,0.022602222142741085,2.2606757337227465,0.7373488818109035,1.0342314703390003,28.845509938895702,0.5901688776910305
106,0.49641911200947936,0.47249190938511326,0.17,0.3743016759776536,1.8096989554353058,0.5379837557673455,0.5652690198738127,0.2861970119643956,0.022602222142741085,2.2606757337227465,0.7373488818109035,1.0342314703390003,21.765892066061497,0.3330150610767305
107,0.737409327944646,0.6962962962962962,0.4069767441860465,0.8790322580645161,1.8251786756329238,1.094881306681782,0.17761836275458337,0.4565474169328808,0.07476682326756418,2.0319030217826364,0.6750645177066326,0.4600726930424571,28.845509938895702,0.3330150610767305
