state,seed,n_frag,top1,top50,method,theta,solve_s,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,n_arcs,status
P4,1,1148,0.4989293361884368,0.9357601713062098,greedy,4.595119850134589,0.0006427764892578125,0.2578125,0.42398286937901497,0.32064777327935223,0.031055900621118012,0.0627177700348432,768,467,0.17129427201508493,0.3580729166666667,493,0.6419270833333333,2665.0,
P4,1,1148,0.4989293361884368,0.9357601713062098,loop,4.595119850134589,0.010843992233276367,0.2805755395683453,0.1670235546038544,0.20939597315436242,0.06832298136645963,0.23344947735191637,278,467,0.1212466750239026,0.35251798561151076,180,0.6474820143884892,2665.0,
P4,1,1148,0.4989293361884368,0.9357601713062098,path,4.595119850134589,0.8593833446502686,0.3054945054945055,0.29764453961456105,0.3015184381778742,0.2204968944099379,0.1994773519163763,455,467,0.19306077196481025,0.41318681318681316,267,0.5868131868131868,2665.0,
P4,1,1148,0.4989293361884368,0.9357601713062098,bipartite,4.595119850134589,180.06400346755981,0.2690863579474343,0.4603854389721627,0.339652448657188,0.040372670807453416,0.06097560975609756,799,467,0.17714537319147228,0.3704630788485607,503,0.6295369211514392,2665.0,
P4,1,1148,0.4989293361884368,0.9357601713062098,constrained,1.7346010553881064,156.45317125320435,0.6266924564796905,0.6937901498929336,0.6585365853658536,0.3385093167701863,0.3893728222996516,517,467,0.622331588231971,0.9090909090909091,47,0.09090909090909094,1510.0,OPTIMAL
P4,2,1105,0.5010940919037199,0.9387308533916849,top1,,0.0,0.2072398190045249,0.5010940919037199,0.293213828425096,0.04946996466431095,0.09411764705882353,1105,457,0.12205528306701402,0.27873303167420815,797,0.7212669683257918,,
P4,2,1105,0.5010940919037199,0.9387308533916849,mutual,,0.0,0.3492647058823529,0.41575492341356673,0.3796203796203796,0.09187279151943463,0.16108597285067874,544,457,0.2627662304336669,0.46691176470588236,290,0.5330882352941176,,
P4,2,1105,0.5010940919037199,0.9387308533916849,greedy,4.595119850134589,0.00083160400390625,0.290633608815427,0.4617067833698031,0.35672020287404904,0.05653710247349823,0.07873303167420814,726,457,0.20115232548515452,0.3856749311294766,446,0.6143250688705234,2654.0,
P4,2,1105,0.5010940919037199,0.9387308533916849,loop,4.595119850134589,0.0069501399993896484,0.23550724637681159,0.1422319474835886,0.1773533424283765,0.0706713780918728,0.2235294117647059,276,457,0.1119585569394572,0.31521739130434784,189,0.6847826086956521,2654.0,
P4,2,1105,0.5010940919037199,0.9387308533916849,path,4.595119850134589,0.6571695804595947,0.2905405405405405,0.28227571115973743,0.2863485016648169,0.15901060070671377,0.16108597285067874,444,457,0.2009435677023671,0.4009009009009009,266,0.5990990990990991,2654.0,
P4,2,1105,0.5010940919037199,0.9387308533916849,bipartite,4.595119850134589,180.75089621543884,0.28304405874499333,0.4638949671772429,0.351575456053068,0.04240282685512368,0.06877828054298643,749,457,0.1912040942067464,0.38050734312416556,464,0.6194926568758344,2654.0,
P4,2,1105,0.5010940919037199,0.9387308533916849,constrained,1.7346010553881064,127.61760139465332,0.6754032258064516,0.7330415754923414,0.7030430220356769,0.4275618374558304,0.4497737556561086,496,457,0.6728073385542462,0.9173387096774194,41,0.08266129032258063,1453.0,OPTIMAL
P5,0,1200,0.2191780821917808,0.7906066536203522,top1,,0.0,0.09333333333333334,0.2191780821917808,0.1309175920514319,0.012269938650306749,0.08083333333333333,1200,511,0.0562907364981078,0.13416666666666666,1039,0.8658333333333333,,
P5,0,1200,0.2191780821917808,0.7906066536203522,mutual,,0.0,0.1471698113207547,0.15264187866927592,0.14985590778097985,0.015337423312883436,0.10916666666666666,530,511,0.09574954208455562,0.21132075471698114,418,0.7886792452830189,,
P5,0,1200,0.2191780821917808,0.7906066536203522,greedy,4.595119850134589,0.00044083595275878906,0.12792792792792793,0.13894324853228962,0.13320825515947468,0.015337423312883436,0.10083333333333333,555,511,0.08300070044642097,0.1873873873873874,451,0.8126126126126126,1535.0,
P5,0,1200,0.2191780821917808,0.7906066536203522,loop,4.595119850134589,0.010157108306884766,0.15027322404371585,0.10763209393346379,0.12542759407069556,0.03374233128834356,0.16666666666666666,366,511,0.07637690081744264,0.21311475409836064,288,0.7868852459016393,1535.0,
P5,0,1200,0.2191780821917808,0.7906066536203522,path,2.9444389791664394,5.010541200637817,0.11433756805807622,0.1232876712328767,0.11864406779661017,0.06441717791411043,0.060833333333333336,551,511,0.0817485524233476,0.16515426497277677,460,0.8348457350272233,12619.0,
P5,0,1200,0.2191780821917808,0.7906066536203522,bipartite,0.8472978603872034,12.393442630767822,0.0950792326939116,0.22309197651663404,0.13333333333333333,0.0,0.0,1199,511,5.6727267426522795e-05,0.12844036697247707,1045,0.8715596330275229,55986.0,
P5,0,1200,0.2191780821917808,0.7906066536203522,constrained,1.7346010553881064,180.34439063072205,0.535377358490566,0.44422700587084146,0.48556149732620324,0.19325153374233128,0.3016666666666667,424,511,0.42180693236024924,0.7924528301886793,88,0.2075471698113207,1731.0,FEASIBLE
P5,1,1148,0.23126338329764454,0.7623126338329764,top1,,0.0,0.09407665505226481,0.23126338329764454,0.13374613003095978,0.024844720496894408,0.06794425087108014,1148,467,0.04337865590735285,0.13501742160278746,993,0.8649825783972125,,
P5,1,1148,0.23126338329764454,0.7623126338329764,mutual,,0.0,0.14481409001956946,0.15845824411134904,0.15132924335378323,0.034161490683229816,0.11498257839721254,511,467,0.09876854314862635,0.2054794520547945,406,0.7945205479452055,,
P5,1,1148,0.23126338329764454,0.7623126338329764,greedy,4.595119850134589,0.0009870529174804688,0.12750455373406194,0.14989293361884368,0.1377952755905512,0.021739130434782608,0.09407665505226481,549,467,0.09105998487521787,0.18214936247723132,449,0.8178506375227687,1438.0,
P5,1,1148,0.23126338329764454,0.7623126338329764,loop,4.595119850134589,0.02156853675842285,0.13186813186813187,0.10278372591006424,0.11552346570397112,0.031055900621118012,0.15940766550522648,364,467,0.07803729977889765,0.18956043956043955,295,0.8104395604395604,1438.0,
P5,1,1148,0.23126338329764454,0.7623126338329764,path,2.9444389791664394,6.893895864486694,0.12218045112781954,0.139186295503212,0.1301301301301301,0.08385093167701864,0.06968641114982578,532,467,0.0911807516381669,0.17481203007518797,439,0.825187969924812,11688.0,
P5,1,1148,0.23126338329764454,0.7623126338329764,bipartite,0.8472978603872034,10.934325456619263,0.08836395450568679,0.21627408993576017,0.1254658385093168,0.0,0.0,1143,467,0.0020936314343896023,0.13648293963254593,987,0.863517060367454,52525.0,
P5,1,1148,0.23126338329764454,0.7623126338329764,constrained,1.7346010553881064,180.34943103790283,0.4973821989528796,0.4068522483940043,0.447585394581861,0.19875776397515527,0.30139372822299654,382,467,0.4198889928077175,0.8115183246073299,72,0.18848167539267013,1636.0,FEASIBLE
P5,2,1105,0.2538293216630197,0.7724288840262582,top1,,0.0,0.10497737556561086,0.2538293216630197,0.14852752880921896,0.0176678445229682,0.0751131221719457,1105,457,0.0520978523825084,0.1429864253393665,947,0.8570135746606335,,
P5,2,1105,0.2538293216630197,0.7724288840262582,mutual,,0.0,0.17324561403508773,0.17286652078774617,0.1730558598028478,0.053003533568904596,0.14660633484162897,456,457,0.10927707888962031,0.22807017543859648,352,0.7719298245614035,,
P5,2,1105,0.2538293216630197,0.7724288840262582,greedy,4.595119850134589,0.0009455680847167969,0.1446028513238289,0.15536105032822758,0.14978902953586498,0.03180212014134275,0.11312217194570136,491,457,0.08939318884349538,0.1894093686354379,398,0.8105906313645621,1412.0,
P5,2,1105,0.2538293216630197,0.7724288840262582,loop,4.595119850134589,0.015607118606567383,0.1620795107033639,0.11597374179431072,0.13520408163265304,0.04240282685512368,0.17918552036199095,327,457,0.08335186723992154,0.20795107033639143,259,0.7920489296636086,1412.0,
P5,2,1105,0.2538293216630197,0.7724288840262582,path,2.9444389791664394,6.776408433914185,0.1237721021611002,0.13785557986870897,0.13043478260869565,0.07773851590106007,0.06153846153846154,509,457,0.0809049788764528,0.14734774066797643,434,0.8526522593320236,11515.0,
P5,2,1105,0.2538293216630197,0.7724288840262582,bipartite,0.8472978603872034,10.924881219863892,0.10254083484573502,0.24726477024070023,0.14496472097498395,0.0035335689045936395,0.0036199095022624436,1102,457,0.0018231921683885344,0.13702359346642468,951,0.8629764065335753,50089.0,
P5,2,1105,0.2538293216630197,0.7724288840262582,constrained,1.7346010553881064,180.21741557121277,0.5596590909090909,0.4310722100656455,0.48702101359703337,0.24028268551236748,0.334841628959276,352,457,0.38927265874328676,0.7642045454545454,83,0.23579545454545459,1503.0,FEASIBLE
