tag,method,seed,n_frag,disperse_sigma_mm,block_mm,unit_known_frac,unit_error_frac,coherence,radius,theta,n_arcs,arc_recall,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
grid,context_hard,0,1200,30.0,250.0,1.0,0.0,0.6536203522504892,1,0.8472978603872034,1082,0.5929549902152642,5.271111011505127,OPTIMAL,0.6353211009174312,0.5420743639921722,0.5850052798310454,0.2361963190184049,0.3383333333333333,436,511,0.503281811453142,0.9036697247706422,42,0.09633027522935778
grid,context_soft,0,1200,30.0,250.0,1.0,0.0,0.6536203522504892,1,1.7346010553881064,1616,0.821917808219178,180.24425864219666,FEASIBLE,0.6465364120781527,0.7123287671232876,0.6778398510242085,0.34662576687116564,0.3875,563,511,0.6375362407280236,0.9023090586145648,55,0.09769094138543521
grid,context_hard,1,1148,30.0,250.0,1.0,0.0,0.6616702355460385,1,0.8472978603872034,1020,0.5845824411134903,7.190088272094727,OPTIMAL,0.6,0.5203426124197003,0.5573394495412844,0.2453416149068323,0.34930313588850176,405,467,0.5144132199177234,0.9111111111111111,36,0.0888888888888889
grid,context_soft,1,1148,30.0,250.0,1.0,0.0,0.6616702355460385,1,1.7346010553881064,1510,0.7987152034261242,167.0865409374237,OPTIMAL,0.6266924564796905,0.6937901498929336,0.6585365853658536,0.3385093167701863,0.3893728222996516,517,467,0.622331588231971,0.9090909090909091,47,0.09090909090909094
grid,context_hard,2,1105,30.0,250.0,1.0,0.0,0.6039387308533917,1,0.8472978603872034,901,0.5448577680525164,9.092838287353516,OPTIMAL,0.6236263736263736,0.49671772428884026,0.5529841656516443,0.254416961130742,0.35203619909502265,364,457,0.49009533219886187,0.8873626373626373,41,0.11263736263736268
grid,context_soft,2,1105,30.0,250.0,1.0,0.0,0.6039387308533917,1,1.7346010553881064,1453,0.8271334792122538,136.56879591941833,OPTIMAL,0.6754032258064516,0.7330415754923414,0.7030430220356769,0.4275618374558304,0.4497737556561086,496,457,0.6728073385542462,0.9173387096774194,41,0.08266129032258063
grid,context_hard,0,1200,30.0,500.0,1.0,0.0,0.7534246575342466,1,2.9444389791664394,983,0.5675146771037182,6.548474550247192,OPTIMAL,0.6177215189873417,0.4774951076320939,0.5386313465783664,0.2361963190184049,0.34833333333333333,395,511,0.421428357789429,0.8481012658227848,60,0.15189873417721522
grid,context_soft,0,1200,30.0,500.0,1.0,0.0,0.7534246575342466,1,1.7346010553881064,3843,0.8277886497064579,180.6328523159027,FEASIBLE,0.5509868421052632,0.6555772994129159,0.5987488829311884,0.2852760736196319,0.31583333333333335,608,511,0.5425971954970773,0.7582236842105263,147,0.24177631578947367
grid,context_hard,1,1148,30.0,500.0,1.0,0.0,0.7794432548179872,1,2.9444389791664394,922,0.5802997858672377,6.675184726715088,OPTIMAL,0.6301369863013698,0.4925053533190578,0.5528846153846153,0.2546583850931677,0.36846689895470386,365,467,0.44344046204179083,0.8657534246575342,49,0.13424657534246576
grid,context_soft,1,1148,30.0,500.0,1.0,0.0,0.7794432548179872,1,1.7346010553881064,3407,0.8115631691648822,180.37004899978638,FEASIBLE,0.5500910746812386,0.6466809421841542,0.594488188976378,0.2732919254658385,0.3153310104529617,549,467,0.5417698001868368,0.7978142076502732,111,0.20218579234972678
grid,context_hard,2,1105,30.0,500.0,1.0,0.0,0.700218818380744,1,2.9444389791664394,821,0.5317286652078774,9.10573697090149,OPTIMAL,0.6330275229357798,0.45295404814004375,0.5280612244897959,0.22968197879858657,0.3502262443438914,327,457,0.4206577934564145,0.8654434250764526,44,0.13455657492354745
grid,context_soft,2,1105,30.0,500.0,1.0,0.0,0.700218818380744,1,1.7346010553881064,3317,0.8358862144420132,180.33751773834229,FEASIBLE,0.6049149338374291,0.700218818380744,0.6490872210953346,0.3498233215547703,0.36470588235294116,529,457,0.5964394515763046,0.8204158790170132,95,0.17958412098298682
