state,seed,method,theta,n_frag,status,solve_s,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
P4,0,full,1.7346010553881064,1200,OPTIMAL,36.58878517150879,0.5777126099706745,0.7710371819960861,0.6605196982397318,0.3220858895705521,0.31416666666666665,682,511,0.6595079952835953,0.8328445747800587,114,0.1671554252199413
P4,0,full,2.9444389791664394,1200,OPTIMAL,2.216276168823242,0.6162988115449916,0.7103718199608611,0.66,0.34662576687116564,0.36916666666666664,589,511,0.6120225518014815,0.865874363327674,79,0.13412563667232602
P4,0,full,4.595119850134589,1200,OPTIMAL,0.5817873477935791,0.6719817767653758,0.5772994129158513,0.6210526315789474,0.31901840490797545,0.4008333333333333,439,511,0.5148859584645443,0.9225512528473804,34,0.07744874715261962
P4,0,full,5.806138481293727,1200,OPTIMAL,0.44480276107788086,0.717948717948718,0.4383561643835616,0.5443499392466585,0.254601226993865,0.38333333333333336,312,511,0.3705294071494089,0.9455128205128205,17,0.054487179487179516
P4,0,full,8.11142803829918,1200,OPTIMAL,0.3657815456390381,0.8113207547169812,0.16829745596868884,0.2787682333873582,0.08282208588957055,0.33166666666666667,106,511,0.1323895705760413,1.0,0,0.0
P4,0,latent,-2.197224577336219,1200,FEASIBLE,120.32517981529236,0.5398601398601398,0.7553816046966731,0.6296900489396411,0.30368098159509205,0.2675,715,511,0.6347321530478218,0.7958041958041958,146,0.2041958041958042
P4,0,latent,-1.3862943611198906,1200,FEASIBLE,120.27144408226013,0.5710267229254571,0.7945205479452054,0.6644844517184942,0.34355828220858897,0.315,711,511,0.6934616797196111,0.8382559774964838,115,0.16174402250351616
P4,0,latent,-0.8472978603872036,1200,FEASIBLE,120.23996663093567,0.5971428571428572,0.8180039138943248,0.690338563170933,0.3588957055214724,0.33416666666666667,700,511,0.7177833123821545,0.8657142857142858,94,0.13428571428571423
P4,0,latent,0.0,1200,FEASIBLE,120.2179753780365,0.6085672082717873,0.8062622309197651,0.6936026936026936,0.3558282208588957,0.3491666666666667,677,511,0.7145800213334556,0.8847858197932054,78,0.11521418020679464
P4,0,latent,0.8472978603872034,1200,FEASIBLE,120.1778302192688,0.6107594936708861,0.7553816046966731,0.6754155730533683,0.3312883435582822,0.34833333333333333,632,511,0.6879034343716058,0.8813291139240507,75,0.11867088607594933
P4,0,latent,1.7346010553881064,1200,FEASIBLE,120.1813063621521,0.6483126110124334,0.7142857142857143,0.6797020484171322,0.34662576687116564,0.3883333333333333,563,511,0.6351977648617528,0.9005328596802842,56,0.09946714031971582
P4,0,latent,2.9444389791664394,1200,OPTIMAL,2.8470261096954346,0.6725274725274726,0.598825831702544,0.6335403726708074,0.3128834355828221,0.39166666666666666,455,511,0.5382040741125772,0.9208791208791208,36,0.07912087912087917
P4,0,latent,4.595119850134589,1200,OPTIMAL,1.0195343494415283,0.7372013651877133,0.4227005870841487,0.5373134328358209,0.2331288343558282,0.37916666666666665,293,511,0.3629965003066183,0.9658703071672355,10,0.03412969283276446
P4,0,latent,5.806138481293727,1200,OPTIMAL,0.5778830051422119,0.7485714285714286,0.2563600782778865,0.3819241982507289,0.12883435582822086,0.3416666666666667,175,511,0.2184666698707408,0.9771428571428571,4,0.02285714285714291
P4,0,latent,8.11142803829918,1200,OPTIMAL,0.4439220428466797,0.7619047619047619,0.06262230919765166,0.11573236889692586,0.03067484662576687,0.30833333333333335,42,511,0.05077698719513162,1.0,0,0.0
