tag,state,seed,n_frag,n_true_joins,top1,top5,top50,coherence,method,theta,theta_at_edge,solve_s,status,n_arcs,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
ablation,P3,2,1105,457,0.7724288840262582,0.9299781181619255,0.9956236323851203,0.6039387308533917,no_notch,-2.197224577336219,True,180.20858120918274,FEASIBLE,4311,0.636094674556213,0.9409190371991247,0.7590467784642542,0.508833922261484,0.4416289592760181,676,457,0.839802648151339,0.9068047337278107,63,0.09319526627218933
ablation,P3,2,1105,457,0.7724288840262582,0.9299781181619255,0.9956236323851203,0.6039387308533917,no_width,0.0,False,180.20122933387756,FEASIBLE,3302,0.689935064935065,0.9299781181619255,0.7921714818266542,0.558303886925795,0.5266968325791855,616,457,0.8444739862761731,0.9464285714285714,33,0.0535714285714286
ablation,P3,2,1105,457,0.7724288840262582,0.9299781181619255,0.9956236323851203,0.6039387308533917,no_strat,0.0,False,180.37655329704285,FEASIBLE,11624,0.5312,0.7264770240700219,0.6136783733826248,0.3250883392226148,0.2914027149321267,625,457,0.569762927850809,0.7392,163,0.26080000000000003
ablation,P3,2,1105,457,0.7724288840262582,0.9299781181619255,0.9956236323851203,0.6039387308533917,no_hand,1.7346010553881064,False,4.089471817016602,OPTIMAL,997,0.6936026936026936,0.9015317286652079,0.7840152235965747,0.5547703180212014,0.5212669683257919,594,457,0.7942880259228479,0.9377104377104377,37,0.062289562289562284
ablation,P3,2,1105,457,0.7724288840262582,0.9299781181619255,0.9956236323851203,0.6039387308533917,full,0.8472978603872034,False,2.6454954147338867,OPTIMAL,1300,0.6687598116169545,0.9321663019693655,0.7787934186471664,0.5300353356890459,0.49140271493212667,637,457,0.8317784308299011,0.9293563579277865,45,0.07064364207221352
ablation,P3,2,1105,457,0.7724288840262582,0.9299781181619255,0.9956236323851203,0.6039387308533917,full_no_notch,0.0,False,1.0531883239746094,OPTIMAL,1764,0.6388059701492538,0.936542669584245,0.7595385980479148,0.49469964664310956,0.43800904977375565,670,457,0.8294626327843204,0.9014925373134328,66,0.09850746268656718
ablation,P3,2,1105,457,0.7724288840262582,0.9299781181619255,0.9956236323851203,0.6039387308533917,full_no_hand,-2.197224577336219,True,180.16367959976196,FEASIBLE,4311,0.6,0.925601750547046,0.7280550774526678,0.46996466431095407,0.38642533936651585,705,457,0.7876659214118336,0.8524822695035461,104,0.1475177304964539
ablation,P3,3,1121,473,0.7716701902748414,0.9260042283298098,0.9809725158562368,0.6046511627906976,latent,0.0,False,52.3405122756958,OPTIMAL,1783,0.7,0.9323467230443975,0.7996373526745241,0.5050505050505051,0.4852809991079393,630,473,0.8341701791225234,0.9587301587301588,26,0.041269841269841234
ablation,P3,3,1121,473,0.7716701902748414,0.9260042283298098,0.9809725158562368,0.6046511627906976,no_length,1.7346010553881064,False,2.1716527938842773,OPTIMAL,1098,0.6476190476190476,0.8625792811839323,0.7398005439709884,0.40404040404040403,0.3960749330954505,630,473,0.7192088858101209,0.9079365079365079,58,0.09206349206349207
ablation,P3,3,1121,473,0.7716701902748414,0.9260042283298098,0.9809725158562368,0.6046511627906976,no_notch,-2.197224577336219,True,180.43719029426575,FEASIBLE,4062,0.6415094339622641,0.9344608879492601,0.7607573149741825,0.43434343434343436,0.3951828724353256,689,473,0.8365820997446276,0.9230769230769231,53,0.07692307692307687
