part,level,seed,method,n_frag,top1,top50,solve_s,status,coherence,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,mix
uneven,,0,constrained,1173,0.5165692007797271,0.9239766081871345,180.53581309318542,FEASIBLE,0.6023391812865497,0.5524861878453039,0.5847953216374269,0.5681818181818181,0.3042168674698795,0.3137254901960784,543,513,0.5059878513366625,0.7753222836095764,122,0.22467771639042355,P4_uniform
uneven,,0,bipartite,1173,0.5165692007797271,0.9239766081871345,2.3918850421905518,OPTIMAL,0.6023391812865497,0.315,0.49122807017543857,0.38385376999238385,0.0572289156626506,0.07502131287297528,800,513,0.21833688990220404,0.40375,477,0.59625,P4_uniform
uneven,,1,constrained,1177,0.5226415094339623,0.9358490566037736,180.2433853149414,FEASIBLE,0.6490566037735849,0.6107011070110702,0.6245283018867924,0.6175373134328358,0.3081570996978852,0.33135089209855567,542,530,0.5321633583344959,0.8081180811808119,104,0.19188191881918815,P4_uniform
uneven,,1,bipartite,1177,0.5226415094339623,0.9358490566037736,43.871811628341675,OPTIMAL,0.6490566037735849,0.31954887218045114,0.4811320754716981,0.38403614457831325,0.03625377643504532,0.06542056074766354,798,530,0.19454501803854227,0.39097744360902253,486,0.6090225563909775,P4_uniform
uneven,,2,constrained,1106,0.5361990950226244,0.9411764705882353,180.34237790107727,FEASIBLE,0.6131221719457014,0.5401174168297456,0.6244343891402715,0.5792235047219307,0.3365695792880259,0.3462929475587703,511,442,0.5298264589781317,0.786692759295499,109,0.21330724070450102,P4_uniform
uneven,,2,bipartite,1106,0.5361990950226244,0.9411764705882353,180.1304898262024,FEASIBLE,0.6131221719457014,0.2897196261682243,0.49095022624434387,0.36439966414777497,0.038834951456310676,0.06962025316455696,749,442,0.199198154594273,0.3925233644859813,455,0.6074766355140186,P4_uniform
uneven,,0,constrained,1173,0.6003898635477583,0.9551656920077972,180.34569907188416,FEASIBLE,0.6023391812865497,0.6542239685658153,0.6491228070175439,0.6516634050880626,0.35542168674698793,0.39300937766410915,509,513,0.6052559343193828,0.9017681728880157,50,0.0982318271119843,P3_to_P5
uneven,,0,bipartite,1173,0.6003898635477583,0.9551656920077972,0.15268993377685547,OPTIMAL,0.6023391812865497,0.4423380726698262,0.5458089668615984,0.4886561954624782,0.14156626506024098,0.19437340153452684,633,513,0.32887033095512525,0.5766192733017378,268,0.4233807266982622,P3_to_P5
uneven,,1,constrained,1177,0.5584905660377358,0.9584905660377359,180.2993929386139,FEASIBLE,0.6490566037735849,0.6515151515151515,0.6490566037735849,0.6502835538752363,0.32326283987915405,0.3653355989804588,528,530,0.6199639937166034,0.8977272727272727,54,0.10227272727272729,P3_to_P5
uneven,,1,bipartite,1177,0.5584905660377358,0.9584905660377359,0.06308412551879883,OPTIMAL,0.6490566037735849,0.4192,0.49433962264150944,0.45367965367965374,0.12386706948640483,0.16057774001699235,625,530,0.32314529713447454,0.5456,284,0.4544,P3_to_P5
uneven,,2,constrained,1106,0.6018099547511312,0.9638009049773756,93.05465245246887,OPTIMAL,0.6131221719457014,0.6185567010309279,0.6787330316742082,0.6472491909385113,0.3883495145631068,0.41229656419529837,485,442,0.6228011045518335,0.8989690721649485,49,0.10103092783505152,P3_to_P5
uneven,,2,bipartite,1106,0.6018099547511312,0.9638009049773756,0.07284808158874512,OPTIMAL,0.6131221719457014,0.38564273789649417,0.5226244343891403,0.4438040345821326,0.1262135922330097,0.18264014466546113,599,442,0.31616244204962574,0.5475792988313857,271,0.4524207011686143,P3_to_P5
uneven,,0,constrained,1173,0.6998050682261209,0.9688109161793372,85.68144822120667,OPTIMAL,0.6023391812865497,0.6897163120567376,0.7582846003898636,0.7223769730733519,0.40963855421686746,0.4339300937766411,564,513,0.7409823567194926,0.9450354609929078,31,0.054964539007092195,P2_to_P5
uneven,,0,bipartite,1173,0.6998050682261209,0.9688109161793372,0.05997729301452637,OPTIMAL,0.6023391812865497,0.4917541229385307,0.6393762183235867,0.5559322033898305,0.15963855421686746,0.19522591645353793,667,513,0.4061499216445019,0.656671664167916,229,0.343328335832084,P2_to_P5
uneven,,1,constrained,1177,0.6849056603773584,0.9735849056603774,112.26080703735352,OPTIMAL,0.6490566037735849,0.6790780141843972,0.7226415094339622,0.70018281535649,0.4108761329305136,0.41886151231945623,564,530,0.6818416804747388,0.9343971631205674,37,0.06560283687943258,P2_to_P5
uneven,,1,bipartite,1177,0.6849056603773584,0.9735849056603774,0.14561986923217773,OPTIMAL,0.6490566037735849,0.4961948249619482,0.6150943396226415,0.5492839090143218,0.16314199395770393,0.18521665250637212,657,530,0.4162779100922601,0.654490106544901,227,0.34550989345509897,P2_to_P5
